99978.4922,99912.2422 
99966.6562,1501.31531 
99952.2812,3061.19727 
99938.3359,4628.71045 
99929.0469,6167.08447 
99919.8047,7730.98340 
99924.0547,9303.93164 
99943.6250,10848.6963 
99952.7656,12405.0908 
99958.6016,13968.1279 
99974.5938,15555.0947 
99996.0781,17157.1582 
99998.5156,18745.4824 
99991.5859,20307.4941 
99994.7734,21853.7480 
99997.6562,23419.3008 
16.9259872,24952.7910 
31.0931396,26471.3848 
38.6378365,28031.4531 
46.7311745,29574.2266 
43.5056038,31123.7871 
35.1097221,32736.0723 
35.1085625,34320.0664 
39.2170944,35898.5430 
14.2413387,37490.7383 
99987.0312,39077.0859 
99976.7656,40648.4727 
99973.7656,42198.5156 
99974.5078,43761.8555 
99971.2422,45357.4883 
99958.4844,46944.9961 
99970.1172,48473.6055 
1537.27490,99908.6016 
1525.10217,1482.99402 
1505.95044,3045.17554 
1498.34375,4619.86230 
1498.55383,6165.56006 
1503.41443,7727.33496 
1496.84973,9308.38574 
1496.88757,10860.1309 
1507.44849,12414.5430 
1523.55090,13983.8994 
1541.59509,15577.7051 
1562.03259,17176.1055 
1568.86816,18735.6445 
1564.79236,20310.1387 
1577.81458,21862.7969 
1577.32251,23418.9531 
1569.28687,24962.6035 
1573.12402,26474.3848 
1581.22327,28037.6113 
1586.58057,29578.1289 
1592.91638,31126.7461 
1595.52771,32732.9609 
1596.66638,34329.0039 
1598.08594,35886.3164 
1567.37000,37449.0039 
1541.30847,39061.0078 
1535.15747,40643.3516 
1527.24524,42198.8945 
1534.06995,43768.6797 
1534.41333,45341.3789 
1513.85339,46932.8047 
1519.10632,48507.8555 
3094.71265,99907.9922 
3073.87988,1458.69641 
3068.91113,3045.28662 
3083.99097,4623.08447 
3091.17017,6173.22363 
3093.45947,7724.92627 
3080.76099,9296.62012 
3083.18408,10870.3838 
3104.06104,12430.7441 
3124.03760,14002.3926 
3139.57861,15590.7139 
3138.01318,17185.0000 
3138.37085,18736.4707 
3137.85400,20310.5176 
3127.59839,21865.1914 
3118.47900,23404.4766 
3107.29932,24957.7109 
3121.11768,26495.1387 
3151.33228,28054.8340 
3165.07202,29583.9453 
3171.24707,31130.0664 
3165.52441,32725.4883 
3155.27539,34329.3594 
3151.46826,35878.2461 
3148.38110,37429.0039 
3145.16211,39055.5391 
3134.53198,40629.9570 
3115.87500,42188.5234 
3113.81665,43781.5820 
3127.11890,45338.5469 
3122.05859,46916.9766 
3097.31616,48502.7812 
4649.32617,99900.7891 
4652.50244,1449.19519 
4663.54492,3061.24805 
4676.22949,4635.66309 
4681.42383,6175.66309 
4678.51123,7717.26416 
4674.68994,9289.57227 
4681.23682,10889.6895 
4704.35596,12456.4902 
4730.42139,14024.4863 
4741.31445,15591.0381 
4723.00732,17167.4902 
4708.98975,18738.5039 
4703.49023,20296.8477 
4684.35400,21852.6582 
4689.58301,23406.2891 
4696.24219,24956.9746 
4701.67480,26517.0000 
4704.90820,28065.8105 
4702.14014,29593.4414 
4721.91016,31141.4219 
4735.59326,32719.3047 
4730.97363,34319.4570 
4720.83838,35874.8945 
4718.72070,37428.3867 
4702.80713,39040.6367 
4685.50928,40618.1758 
4685.99219,42178.7305 
4676.12891,43782.6367 
4668.15039,45342.6289 
4656.74561,46898.8203 
4636.91211,48472.8047 
6218.15332,99910.0000 
6237.50146,1466.71838 
6245.94043,3066.75659 
6244.94043,4641.29297 
6252.69385,6179.50879 
6267.17725,7725.28467 
6292.15088,9298.57422 
6298.08252,10894.5938 
6299.04639,12475.8477 
6308.33496,14040.3145 
6313.68750,15589.8076 
6311.11914,17148.0723 
6294.08447,18729.3730 
6281.12500,20282.1602 
6267.38867,21842.8125 
6258.51172,23414.1504 
